16abc 0.023196 203.689542 +13.853974
filter G48
57487.135 17.350 0.020
57487.284 17.360 0.020
57487.285 17.400 0.020
57487.891 17.180 0.020
57487.893 17.220 0.020
57487.928 17.160 0.020
57487.930 17.200 0.020
57488.868 16.940 0.020
57488.870 16.930 0.020
57489.145 16.900 0.020
57489.147 16.890 0.010
57489.933 17.450 0.120
57489.935 17.030 0.170
57490.217 16.710 0.020
57490.219 16.730 0.020
57490.918 16.580 0.030
57490.919 16.670 0.030
57491.313 16.640 0.010
57491.315 16.640 0.010
57491.506 16.530 0.020
57491.508 16.510 0.020
57492.422 16.480 0.010
57492.424 16.490 0.010
57492.962 16.420 0.020
57492.963 16.410 0.020
57493.417 16.440 0.010
57493.418 16.450 0.010
57493.846 16.390 0.020
57493.847 16.260 0.030
57494.439 16.450 0.010
57494.441 16.400 0.010
57494.552 15.480 0.270
57494.553 16.610 0.130
57498.141 16.440 0.020
57498.143 16.470 0.020
57504.085 16.550 0.020
57504.087 16.570 0.020
57505.308 16.610 0.010
57505.309 16.620 0.010
57509.265 16.860 0.010
57509.267 16.950 0.010
57513.343 17.260 0.020
57513.344 17.270 0.020
57517.350 17.260 0.020
57517.352 17.260 0.020
57518.349 17.180 0.020
57518.351 17.240 0.020
57520.360 17.190 0.020
57520.362 17.200 0.020
57528.346 16.970 0.020
57528.348 16.990 0.020
57532.343 17.130 0.040
57532.345 17.040 0.050
57534.343 17.250 0.030
57534.345 17.170 0.030
57546.310 17.920 0.030
57546.312 17.930 0.030
57555.120 18.220 0.060
57555.122 18.200 0.040
57557.130 18.370 0.090
57557.132 18.320 0.060
57563.258 18.560 0.070
57563.260 18.540 0.080
57569.022 18.770 0.050
57569.024 18.780 0.050
57576.082 20.940 0.350
57576.084 20.890 0.280
57583.187 19.190 0.130
57583.189 19.150 0.110
57590.037 19.390 0.180
57590.039 19.370 0.210
57597.153 19.580 0.080
57597.156 19.680 0.080
57610.999 17.800 0.270
57612.980 19.910 0.170
57612.982 19.790 0.140
57619.982 19.900 0.160
57619.985 19.950 0.180
filter rspm
57483.22 18.75 0.02
57487.47 17.10 0.01
57497.17 15.95 0.01
57499.25 15.88 0.01
57502.17 15.91 0.01
57503.21 15.95 0.01
57507.17 16.11 0.01
57511.21 16.37 0.01
57514.18 16.54 0.01
57518.24 16.68 0.01
57535.22 17.26 0.01
57541.20 17.51 0.01
57572.22 18.45 0.01
filter ispm
57483.22 19.01 0.03
57487.47 17.33 0.01
57497.17 16.49 0.01
57499.25 16.53 0.01
57502.17 16.61 0.01
57503.21 16.64 0.01
57507.17 16.80 0.01
57511.21 17.15 0.01
57514.18 17.33 0.01
57518.24 17.28 0.01
57535.22 17.31 0.01
57541.20 17.65 0.01
57572.22 18.82 0.01
filter zspm
57483.22 19.00 0.05
57487.47 17.47 0.02
57497.17 16.51 0.01
57499.25 16.47 0.01
57502.17 16.51 0.01
57503.21 16.53 0.01
57507.17 16.68 0.01
57511.21 16.84 0.01
57514.18 16.84 0.01
57518.24 16.76 0.01
57535.22 17.06 0.01
57541.20 17.45 0.02
57572.22 19.00 0.03
filter Yspm
57483.22 18.74 0.11
57487.47 17.12 0.02
57497.17 16.46 0.01
57499.25 16.63 0.01
57502.17 16.90 0.01
57503.21 16.97 0.02
57507.17 17.15 0.01
57511.21 17.26 0.02
57514.18 17.22 0.02
57518.24 16.96 0.01
57535.22 16.23 0.01
57541.20 16.53 0.01
57572.22 18.02 0.03
#Old RATIR photometry:
#filter r_s
#57483.20 18.78 0.01
#57487.50 17.13 0.01
#57492.25 16.29 0.01
#57497.21 15.95 0.01
#57499.26 15.91 0.01
#57503.22 15.92 0.01
#57507.20 16.11 0.01
#57511.20 16.39 0.01
#57535.23 17.26 0.01
#57541.22 17.55 0.01
#filter i_s
#57483.20 19.01 0.01
#57487.50 17.34 0.01
#57492.25 16.57 0.01
#57497.21 16.50 0.01
#57499.26 16.54 0.01
#57503.22 16.62 0.01
#57507.20 16.80 0.01
#57511.20 17.16 0.01
#57535.23 17.33 0.01
#57541.22 17.66 0.01
#filter z_s
#57483.23 19.07 0.04
#57487.50 17.47 0.01
#57492.25 16.72 0.01
#57497.21 16.52 0.01
#57499.26 16.49 0.01
#57503.22 16.56 0.01
#57507.20 16.71 0.01
#57511.20 16.86 0.01
#57535.23 17.11 0.01
#57541.22 17.47 0.01
#filter Yspm_AB
#Ori's old photometry
#57483.22 19.38 0.08
#57487.47 17.69 0.03
#57492.25 16.92 0.05
#57497.17 17.11 0.02
#57499.25 17.22 0.02
#57503.21 17.58 0.02
#57507.17 17.73 0.03
#57511.21 17.81 0.03
#57535.22 16.86 0.02
#57541.20 17.14 0.02
filter Jspm_AB
#Ori's old photometry
57483.22 19.58 0.12
57487.47 18.18 0.03
57492.25 17.30 0.02
57497.17 17.29 0.03
57499.25 17.37 0.03
57503.21 17.65 0.03
57507.17 18.02 0.03
57511.21 18.67 0.03
57535.22 18.34 0.03
57541.20 18.74 0.05
filter Hspm_AB
#Ori's old photometry
57487.47 18.48 0.07
57492.25 18.04 0.06
57497.17 17.96 0.04
57499.25 18.09 0.04
57503.21 18.30 0.04
57507.17 18.36 0.06
57511.21 18.46 0.04
57535.22 18.10 0.04
57541.20 18.44 0.05
filter U_UVOT
57483.3987  18.259   0.141
57484.4321  17.817   0.118
57485.4943  17.321   0.078
57487.8280  16.215   0.065
57489.3093  15.808   0.061
57491.7581  15.499   0.085
57494.0102  15.322   0.058
57496.1695  15.300   0.058
57500.8101  15.557   0.069
57503.6674  15.775   0.068
57509.5868  16.507   0.062
57512.7567  16.897   0.072
57515.7961  17.385   0.090
57518.8216  17.703   0.149
57521.6761  18.440   0.144
filter B_UVOT
57483.3997  19.025   0.167
57484.4327  18.411   0.120
57485.4950  17.818   0.074
57487.8287  17.130   0.066
57489.3101  16.711   0.059
57491.7584  16.321   0.090
57494.0108  16.141   0.058
57496.1701  16.004   0.059
57500.8106  16.047   0.064
57503.6680  16.109   0.061
57509.5892  16.499   0.057
57512.7590  16.754   0.066
57515.7968  17.124   0.067
57518.8220  17.383   0.097
57521.6768  17.801   0.080
filter V_UVOT
57484.4362  18.426   0.267
57485.4992  18.072   0.165
57487.8328  17.066   0.098
57489.3145  16.768   0.081
57494.0144  16.183   0.073
57496.1739  15.993   0.076
57500.8134  15.948   0.082
57503.6718  15.999   0.076
57509.5903  16.184   0.075
57512.7605  16.456   0.088
57515.8009  16.563   0.081
57518.8242  16.814   0.129
57521.6805  16.940   0.092
filter ps1_g
57487.379 17.127  0.012
57492.387 16.147  0.007
57502.371 15.954  0.008
57509.363 16.232  0.007
57514.348 16.522  0.009
57514.352 16.597  0.008
57523.312 17.225  0.014
57531.270 17.922  0.031
filter ps1_r
57487.379 17.202  0.011
57490.371 16.506  0.005
57490.383 16.500  0.004
57490.395 16.504  0.004
57490.406 16.544  0.004
57492.387 16.284  0.006
57502.371 15.945  0.006
57509.363 16.268  0.007
57514.348 16.573  0.012
57514.352 16.644  0.007
57523.312 16.690  0.009
57531.270 16.962  0.013
filter ps1_i
57487.379 17.425  0.014
57492.387 16.572  0.008
57502.375 16.613  0.010
57509.363 17.001  0.011
57514.348 17.344  0.013
57514.352 17.390  0.012
57523.312 17.083  0.012
57530.406 17.063  0.012
57531.270 17.066  0.014
filter ps1_z
57487.379 17.538  0.020
57492.387 16.750  0.012
57502.375 16.595  0.012
57509.363 16.919  0.014
57514.348 17.076  0.021
57514.352 17.105  0.014
57523.312 16.905  0.014
57531.273 17.012  0.018
