14atg 0.02129 193.186849 +26.470284
filter R48
56845.171639999840 18.650226940999 0.039
56846.170919999946 18.750167470272 0.039
56847.169869999867 18.718963607314 0.046
56848.169929999858 18.728657752955 0.046
56858.184369999915 19.014682255843 0.019
56861.201239999849 19.070296201090 0.038
56864.164239999838 19.177072361880 0.039
56874.156700000167 19.447541055192 0.068
56875.176049999893 19.368481073927 0.066
56876.160300000105 20.700000000000 0.999
56881.150890000165 20.200000000000 0.999
56882.150280000176 19.700000000000 0.999
56883.175869999919 21.100000000000 0.999
filter r60
56785.416840000078 18.757810015448 0.011
56786.380750000011 18.539723142211 0.022
56791.157420000061 17.540304935687 0.016
56795.168980000075 17.040709016263 0.003
56796.182370000053 17.009240927179 0.006
56801.303350000177 16.862979059380 0.011
56803.168360000011 16.852388239860 0.001
56803.170160000212 16.852515844784 0.002
56804.163960000034 16.886462367055 0.003
56805.163569999859 16.908693164778 0.002
56806.165610000025 16.941609005668 0.002
56807.165409999900 16.972446556271 0.002
56808.167450000066 16.998663261488 0.002
56810.166920000222 17.119452027950 0.004
56812.167129999958 17.241404607202 0.005
56814.168920000084 17.344738641639 0.008
56816.169819999952 17.458650727243 0.011
56819.250399999786 17.524305439161 0.019
56828.184020000044 18.112872107415 0.012
56829.282819999848 18.132800590857 0.023
56830.226989999879 18.236193731518 0.011
56831.178470000159 18.228605435640 0.010
56833.178139999975 18.355106692174 0.014
56836.180040000007 18.417950675922 0.014
56838.203670000192 18.507018571639 0.010
56840.179459999781 18.544474185660 0.013
56842.172040000092 18.631247433540 0.025
56844.171999999788 18.700316554377 0.026
56846.172970000189 18.762855703116 0.037
56848.171610000078 18.798670374658 0.030
56858.187040000223 19.062340606843 0.059
56861.102889999840 19.207468964633 0.047
56864.166860000230 19.267984514229 0.025
56866.164830000140 19.386415665152 0.094
56871.160709999967 19.522556995042 0.052
56875.177649999969 19.524930928668 0.054
56876.161900000181 19.653438741208 0.066
56881.153560000006 20.800000000000 0.999
56882.151959999930 20.700000000000 0.999
56883.179459999781 21.300000000000 0.999
filter z60
56793.390209999867 17.489223269437 0.037
56801.305180000141 16.989359185372 0.016
56804.265789999999 17.145614965760 0.014
56805.165409999900 17.119201562887 0.015
56807.167239999864 17.129730247668 0.015
56810.168759999797 17.228971001853 0.020
56811.220019999892 17.234154895640 0.026
56812.168109999970 17.301483907486 0.025
filter rspm
56795.255 17.038 0.049
56798.353 16.866 0.019
56806.224 16.878 0.028
56818.197 17.490 0.022
56825.258 17.847 0.024
filter ispm
56795.255 17.191 0.032
56798.353 17.020 0.022
56806.224 17.023 0.025
56818.197 17.440 0.023
56825.258 17.738 0.029
filter zspm
56798.353 17.134 0.010
56806.224 17.095 0.016
56818.197 17.320 0.029
56825.258 17.465 0.022
filter Yspm
56798.353 16.721 0.020
56806.224 16.678 0.027
56818.197 16.807 0.038
56825.258 16.925 0.035
filter Jspm
56795.255 16.722 0.053
56798.353 16.650 0.039
56806.226 16.800 0.087
56818.197 17.410 0.111
56825.258 17.530 0.120
