13ddg 0.084 11.961798 31.821517
filter R48
56572.370709999930 19.773 0.032
56572.402600000147 19.749 0.029
56573.306590000167 19.809 0.042
56578.385679999832 20.066 0.070
56580.307680000085 20.132 0.060
filter z60
56541.263 19.425 0.186
56541.2631 19.4251 0.1861
#filter WHIRCH
#56561.179 19.093 0.091
#56581.188 19.845 0.056
#56585.386 20.018 0.080
filter rspm
#190521
56543.31 18.98 0.01
56545.30 18.87 0.01
56548.25 18.80 0.01
56554.17 18.90 0.01
56558.16 19.09 0.01
56561.15 19.25 0.01
56563.14 19.35 0.01
56569.23 19.57 0.01
56577.15 19.89 0.02
56580.21 20.02 0.02
56596.37 20.74 0.08
filter ispm
#190521
56543.31 19.20 0.02
56545.30 19.20 0.01
56548.25 19.23 0.01
56554.17 19.30 0.02
56558.16 19.61 0.02
56561.15 19.80 0.02
56563.14 19.92 0.02
56569.23 19.88 0.02
56577.15 19.81 0.02
56580.21 19.91 0.03
56596.37 20.76 0.09
filter zspm
#190521
56543.31 19.76 0.24
56545.30 19.57 0.08
56548.25 19.58 0.07
56554.17 19.82 0.10
56558.16 19.99 0.10
56561.15 20.15 0.15
56563.14 20.32 0.12
56569.23 20.27 0.13
56577.15 19.98 0.10
56580.21 20.18 0.10
56596.37 21.06 0.30
filter Yspm
#190521
#56543.31 > 18.10
56545.30 18.84 0.11
56548.25 18.89 0.14
56554.17 19.03 0.17
56558.16 19.32 0.20
56561.15 19.06 0.12
56563.14 19.33 0.15
56569.23 19.19 0.12
56577.15 19.08 0.12
56580.21 19.14 0.18
56596.37 19.55 0.18
filter Jspm
#190521
#56543.31 > 18.03
56545.30 19.39 0.33
56548.25 19.26 0.21
#56554.17 > 18.77
#56558.16 > 18.23
#56561.15 > 18.50
#56563.14 > 18.72
#56569.23 > 18.89
56577.15 19.86 0.38
#56580.21 > 18.90
#56596.37 > 19.07
#filter Hspm
#190521
#56543.31 > 17.63
#56545.30 > 18.28
#56548.25 > 18.79
#56554.17 > 18.23
#56558.16 > 18.36
#56561.15 > 18.32
#56563.14 > 18.64
#56569.23 > 18.24
#56577.15 > 18.51
#56580.21 > 18.46
#56596.37 > 18.74
##Old redux:
#filter rspm
#56543.00 18.9516 0.02
#56545.00 18.8312 0.02
#56548.00 18.7951 0.02
#56554.00 18.8597 0.02
#56558.00 19.0244 0.02
#56561.00 19.1255 0.02
#56563.00 19.2082 0.02
#56569.00 19.4857 0.02
#56577.00 19.7728 0.02
#56580.00 19.9058 0.02
#filter ispm
#56543.000 19.1322 0.02
#56545.000 19.1171 0.02
#56548.000 19.1640 0.02
#56554.000 19.2057 0.03
#56558.000 19.5007 0.02
#56561.000 19.5382 0.03
#56563.000 19.6755 0.03
#56569.000 19.7227 0.03
#56577.000 19.6685 0.02
#56580.000 19.7457 0.03
#filter zspm
#56543.000 19.3742 0.10
#56545.000 19.3741 0.05
#56548.000 19.5021 0.05
#56554.000 19.7022 0.07
#56558.000 19.9109 0.06
#56561.000 20.1170 0.08
#56563.000 20.5749 0.10
#56569.000 20.0369 0.07
#56577.000 19.8187 0.06
#56580.000 19.9907 0.07
#filter Yspm
#56545.000 19.1301 0.06
#56548.000 19.3119 0.05
#56554.000 19.3795 0.10
#56558.000 19.7163 0.09
