13dge 0.015854 75.896169 1.571493
filter Unot
2456543.60762 17.46 0.51
2456543.60953 17.99 0.35
2456544.94701 17.01 0.02
2456545.15068 17.06 0.04
2456545.15259 17.09 0.04
2456545.25832 16.79 0.02
2456545.26024 16.72 0.02
2456545.83014 17.17 0.21
2456545.83205 16.76 0.01
2456546.25377 16.71 0.03
2456546.25568 16.70 0.03
2456546.28042 17.23 0.05
2456546.28233 17.27 0.08
2456546.84097 16.54 0.01
2456546.84288 16.54 0.02
2456546.86534 16.54 0.02
2456546.86725 16.54 0.01
2456546.89130 16.52 0.01
2456546.89319 16.53 0.01
2456547.25381 16.39 0.03
2456547.27863 16.45 0.02
2456547.28056 16.43 0.02
2456548.57889 16.45 0.09
2456548.58045 16.23 0.02
2456548.59894 16.23 0.02
2456548.60051 16.32 0.02
2456548.82784 16.21 0.01
2456548.82941 16.19 0.02
2456548.84965 16.15 0.01
2456548.85122 16.19 0.02
2456550.82475 16.04 0.02
2456550.82630 16.03 0.02
2456551.82184 15.96 0.01
2456551.82340 15.94 0.01
2456551.84248 15.95 0.01
2456551.84404 15.94 0.01
2456552.84296 15.92 0.01
2456552.84451 15.95 0.01
2456554.57424 15.91 0.02
2456554.57546 15.91 0.02
2456554.59042 15.90 0.02
2456554.59164 15.91 0.01
2456556.81807 16.05 0.02
2456556.81929 16.06 0.02
2456556.83439 16.09 0.03
2456556.83559 16.11 0.03
2456559.54090 16.11 0.01
2456559.54212 16.13 0.01
2456559.56678 16.10 0.01
2456559.56801 16.09 0.01
2456560.52767 16.13 0.01
2456560.52889 16.17 0.01
2456560.54477 16.17 0.02
2456560.54598 16.17 0.02
2456563.80074 16.32 0.01
2456563.80194 16.30 0.01
2456572.49785 16.85 0.05
2456572.49906 16.97 0.04
2456574.47743 16.82 0.02
2456574.47865 16.79 0.02
2456577.22652 16.76 0.02
2456577.22773 16.74 0.01
2456579.59587 16.74 0.02
2456579.59743 16.75 0.02
2456579.61671 16.73 0.02
2456579.61828 16.71 0.02
2456581.54711 16.73 0.02
2456581.54867 16.70 0.02
2456581.56906 16.68 0.02
2456583.70556 16.70 0.02
2456583.70712 16.65 0.02
2456583.72574 16.65 0.02
2456585.54185 16.77 0.07
2456585.54341 16.59 0.02
2456585.56145 16.60 0.02
2456585.56301 16.61 0.02
2456589.43926 16.80 0.03
2456589.44083 16.85 0.03
2456591.83172 16.91 0.02
2456591.83329 16.90 0.02
2456592.70204 17.09 0.02
2456592.70361 17.08 0.02
2456593.66833 17.10 0.02
2456593.66990 17.13 0.02
2456595.45387 17.23 0.03
2456595.45543 17.22 0.03
2456595.47367 17.20 0.02
2456595.47523 17.20 0.02
2456598.85019 17.47 0.07
2456598.85174 17.43 0.03
2456600.43120 17.43 0.04
2456600.43287 17.46 0.04
2456600.45155 17.46 0.03
2456600.45311 17.69 0.16
2456602.43678 17.51 0.10
2456602.43846 17.60 0.04
2456604.43369 17.64 0.03
2456604.43525 17.68 0.03
2456606.51626 17.83 0.03
2456606.51782 17.76 0.03
2456608.54508 17.77 0.03
2456608.54664 17.78 0.03
2456611.42604 17.94 0.05
2456611.42830 17.93 0.05
2456617.21771 18.03 0.12
2456617.21997 18.12 0.12
2456619.44333 18.14 0.03
2456619.44560 18.16 0.03
2456622.57178 18.38 0.04
2456622.57404 18.34 0.04
2456625.64509 18.48 0.04
2456625.64735 18.44 0.05
2456628.80272 18.53 0.05
2456628.80498 18.46 0.05
2456640.89355 18.56 0.14
2456640.89582 18.45 0.13
#filter WHIRCK
#2456581.988 16.000 0.017
#2456584.919 15.780 0.016
#2456587.020 16.125 0.019
#2456592.010 16.543 0.021
#2456636.939 18.941 0.503
#2456640.876 18.619 0.106
#filter WHIRCH
#2456563.993 16.562 0.013
#2456581.972 16.033 0.012
#2456584.906 15.876 0.011
#2456587.004 16.000 0.012
#2456592.001 16.530 0.013
#2456608.961 17.663 0.018
#2456636.903 18.348 0.057
#2456640.835 18.938 0.062
#filter WHIRCJ
#2456564.002 16.839 0.013
#2456581.980 17.245 0.014
#2456584.911 16.846 0.012
#2456587.012 16.959 0.013
#2456592.024 17.425 0.013
#2456608.986 19.272 0.043
#2456636.919 20.380 0.169
#2456640.851 20.654 0.189
filter U_UVOT
#2456539.7255  19.454  12.077
#2456540.8873  19.511  12.060
#2456541.5592  19.446  12.061
2456542.5564  18.556   0.179
2456545.1256  16.780   0.076
2456549.9017  15.309   0.058
2456551.8956  15.153   0.054
2456553.9319  15.086   0.053
2456555.5338  15.174   0.056
2456557.5348  15.288   0.058
2456559.0714  15.491   0.063
2456561.9400  15.825   0.065
2456563.8482  15.983   0.068
2456565.0833  16.227   0.069
2456567.1880  16.309   0.077
2456570.7269  16.929   0.081
2456571.6911  16.998   0.086
2456573.7595  17.299   0.105
2456575.4034  17.589   0.117
filter B_UVOT
2456539.7274  19.677  12.893
2456540.8883  19.185   0.220
2456541.5597  18.870   0.182
2456542.5571  17.785   0.095
2456545.1264  16.741   0.066
2456549.9024  15.761   0.058
2456551.8967  15.500   0.051
2456553.9330  15.396   0.050
2456555.5348  15.392   0.050
2456557.5358  15.405   0.050
2456559.0724  15.474   0.051
2456561.9410  15.564   0.052
2456563.8491  15.778   0.059
2456565.0843  15.823   0.058
2456567.1883  16.003   0.063
2456570.7276  16.384   0.063
2456571.6920  16.517   0.065
2456573.7203  16.760   0.077
2456575.4038  16.985   0.077
filter V_UVOT
2456539.7599  18.839  11.617
2456540.8931  18.416   0.249
2456541.5622  18.420   0.263
2456542.5614  17.551   0.142
2456545.1308  16.674   0.087
2456549.9060  15.779   0.068
2456551.9029  15.585   0.063
2456553.9392  15.410   0.061
2456555.5400  15.401   0.063
2456557.5413  15.357   0.062
2456559.0777  15.367   0.062
2456561.9137  15.393   0.068
2456563.8542  15.631   0.066
2456565.0902  15.583   0.064
2456567.1901  15.711   0.072
2456570.7312  15.901   0.069
2456571.6971  15.999   0.073
2456573.7258  16.183   0.091
2456575.4060  16.130   0.080
#filter rspm
#2456540.92153 18.71 0.01
filter ispm
2456540.92153 19.27 0.03
2456544.91111 17.02 0.01
2456550.89444 15.91 0.01
2456554.88750 15.87 0.01
filter zspm
2456540.92153 18.56 0.04
2456544.91111 16.91 0.01
2456550.89444 16.03 0.01
2456554.88750 15.91 0.01
filter Yspm
2456540.922 18.27 0.18
2456544.911 16.54 0.03
2456550.894 15.66 0.01
2456554.888 15.67 0.01
filter Jspm
2456540.922 18.37 0.29
2456544.911 16.65 0.05
2456550.894 15.67 0.01
2456554.888 15.68 0.02
filter Hspm
#2456540.922 17.07 9.99
2456544.911 16.79 0.12
2456550.894 15.84 0.03
2456554.888 15.90 0.04
