B,V,r,i,J,H
4369.34031373494,5371.425487682303,6106.57756556152,7511.095016504289,12480.76680260472,16155.829232787357
4370.790313734945,5358.175487682255,6183.6775655618,7557.445016504457,12427.516802604525,16134.079232787279
4371.840313734949,5361.375487682267,6172.62756556176,7547.445016504421,12438.466802604566,16138.379232787294
4370.1403137349425,5362.17548768227,6159.027565561711,7551.495016504436,12434.816802604553,16134.979232787282
4365.590313734926,5363.525487682275,6160.327565561715,7553.845016504444,12442.91680260458,16129.579232787262
4365.7403137349265,5362.875487682272,6165.377565561734,7553.145016504442,12435.916802604555,16134.82923278728
4369.840313734941,5361.225487682266,6166.077565561736,7554.695016504447,12430.516802604536,16141.829232787306
4369.49031373494,5366.025487682284,6152.827565561688,7547.19501650442,12436.166802604557,16143.429232787312
4372.540313734951,5360.725487682264,6163.427565561727,7553.895016504444,12431.36680260454,16137.729232787293
4375.590313734962,5367.525487682289,6149.027565561674,7547.14501650442,12443.816802604586,16138.229232787293
4372.390313734951,5364.775487682279,6151.0275655616815,7549.295016504428,12436.066802604557,16136.079232787286
4374.5403137349585,5359.9254876822615,6171.477565561756,7553.295016504442,12430.566802604537,16150.87923278734
4358.5903137349005,5364.025487682276,6150.4775655616795,7548.595016504425,12443.166802604583,16132.729232787275
4370.990313734946,5361.175487682266,6168.977565561747,7551.995016504437,12434.416802604552,16141.529232787307
4370.390313734943,5360.325487682263,6173.8275655617645,7557.2450165044565,12431.41680260454,16128.279232787258
4368.190313734935,5367.575487682289,6121.777565561575,7535.295016504377,12450.366802604609,16144.729232787318
4370.840313734945,5365.625487682282,6127.527565561596,7537.295016504384,12454.516802604623,16148.529232787332
4371.190313734946,5366.175487682284,6135.477565561625,7539.945016504394,12449.366802604605,16141.779232787307
4369.5903137349405,5359.775487682261,6176.0275655617725,7557.095016504456,12428.46680260453,16134.37923278728
4369.890313734942,5371.675487682304,6100.377565561497,7493.845016504226,12489.816802604753,16161.829232787379
4370.1403137349425,5366.875487682287,6141.827565561648,7541.945016504401,12449.616802604607,16148.679232787332
4367.890313734934,5361.825487682268,6160.677565561717,7551.7450165044365,12433.516802604547,16134.57923278728
4367.040313734931,5361.775487682268,6170.177565561751,7550.0950165044305,12434.06680260455,16135.429232787283
4371.190313734946,5361.725487682268,6170.127565561751,7555.795016504451,12433.116802604545,16138.329232787295
4366.940313734931,5367.975487682291,6127.077565561594,7538.84501650439,12446.616802604596,16144.929232787319
4372.19031373495,5356.025487682247,6190.177565561824,7558.745016504462,12428.56680260453,16132.179232787272
4365.140313734924,5365.12548768228,6128.977565561601,7538.445016504388,12449.466802604606,16140.579232787302
4369.44031373494,5365.02548768228,6147.327565561668,7545.045016504412,12444.066802604586,16142.32923278731
4365.990313734927,5371.875487682305,6102.727565561506,7502.895016504259,12481.31680260472,16157.229232787362
4363.390313734918,5362.1254876822695,6170.027565561751,7555.095016504449,12433.166802604546,16125.229232787246
4364.590313734922,5366.775487682286,6126.077565561591,7537.895016504386,12444.566802604588,16143.479232787313
4371.290313734947,5364.475487682278,6156.1275655617,7549.745016504429,12441.666802604577,16143.529232787314
4379.240313734976,5359.675487682261,6164.977565561732,7552.345016504439,12433.916802604548,16145.979232787322
4369.190313734939,5362.825487682272,6144.927565561659,7545.645016504414,12442.116802604578,16141.029232787303
