B,V,r,i,J,H
4364.190313734921,5359.47548768226,6161.177565561718,7551.795016504437,12432.716802604544,16130.429232787264
4355.990313734891,5367.125487682288,6100.077565561496,7504.195016504264,12475.0168026047,16157.429232787363
4365.090313734924,5363.175487682273,6155.477565561698,7550.845016504433,12437.566802604562,16134.779232787281
4364.990313734924,5362.22548768227,6142.927565561652,7545.245016504413,12439.366802604569,16136.72923278729
4364.540313734922,5360.825487682265,6161.877565561721,7551.895016504437,12432.616802604545,16130.129232787265
4366.240313734928,5370.325487682299,6115.927565561554,7527.695016504349,12457.366802604634,16150.52923278734
4368.090313734935,5359.025487682258,6177.477565561778,7555.5950165044505,12430.866802604538,16127.629232787254
4356.040313734891,5360.175487682262,6125.1775655615875,7537.795016504386,12439.66680260457,16136.479232787287
4360.590313734908,5359.975487682262,6146.827565561666,7547.14501650442,12434.466802604551,16132.179232787272
4366.090313734928,5361.825487682268,6160.277565561715,7553.045016504441,12435.016802604554,16132.129232787272
4364.690313734923,5361.875487682269,6158.277565561708,7550.945016504434,12434.116802604549,16131.979232787271
4360.540313734908,5373.37548768231,6092.077565561467,7472.195016504147,12512.666802604836,16167.529232787401
4366.240313734928,5372.375487682307,6114.227565561548,7519.545016504319,12467.566802604671,16154.929232787355
4365.390313734925,5368.625487682293,6123.827565561583,7536.695016504382,12447.666802604599,16143.129232787313
4365.040313734924,5362.22548768227,6155.927565561699,7550.345016504431,12434.966802604553,16132.629232787272
4361.040313734909,5358.875487682258,6148.577565561673,7546.895016504419,12432.316802604542,16130.229232787264
4363.99031373492,5362.075487682269,6141.777565561648,7545.645016504414,12439.66680260457,16136.829232787288
4366.74031373493,5363.875487682276,6150.67756556168,7547.545016504421,12439.266802604569,16136.379232787287
4364.990313734924,5364.92548768228,6142.877565561652,7545.945016504415,12441.416802604577,16138.429232787294
4365.640313734926,5357.525487682253,6177.527565561778,7555.34501650445,12428.366802604529,16125.779232787248
4364.490313734922,5357.875487682254,6171.677565561757,7553.545016504443,12429.166802604532,16126.679232787252
