B,V,r,i,J,H
4368.790313734938,5367.925487682291,6125.677565561589,7536.045016504379,12450.86680260461,16146.929232787326
4359.1403137349025,5360.775487682265,6130.727565561608,7539.0950165043905,12443.816802604586,16146.529232787325
4368.590313734937,5365.525487682282,6128.4775655615995,7534.845016504375,12449.716802604606,16150.179232787337
4361.940313734913,5363.375487682274,6128.977565561601,7537.395016504384,12439.966802604571,16140.929232787304
4371.290313734947,5371.025487682302,6116.3775655615555,7521.095016504325,12464.26680260466,16152.429232787345
4366.090313734928,5361.625487682268,6151.277565561682,7545.945016504415,12439.816802604571,16134.779232787281
4372.3403137349505,5362.875487682272,6173.527565561763,7554.395016504446,12438.266802604565,16132.879232787274
4364.440313734922,5369.075487682295,6107.677565561524,7512.395016504293,12471.666802604686,16151.07923278734
4363.190313734917,5360.725487682264,6148.977565561674,7546.2450165044165,12434.26680260455,16133.579232787277
4359.390313734903,5363.475487682274,6127.827565561597,7538.045016504387,12449.666802604606,16144.829232787317
4362.090313734913,5357.375487682252,6166.627565561738,7550.845016504433,12429.166802604532,16128.279232787258
4368.840313734938,5357.425487682252,6189.2275655618205,7556.745016504455,12430.666802604537,16127.179232787254
4373.090313734953,5370.675487682301,6122.927565561579,7527.595016504349,12462.316802604651,16156.779232787361
4361.8903137349125,5364.3254876822775,6119.627565561567,7530.195016504358,12449.266802604605,16157.229232787362
4358.190313734899,5368.075487682291,6099.377565561494,7501.045016504252,12478.916802604712,16155.679232787357
4350.590313734871,5359.62548768226,6108.4275655615265,7526.495016504345,12452.316802604615,16137.479232787291
4357.190313734895,5362.725487682272,6126.227565561591,7540.1950165043945,12445.216802604591,16134.879232787282
4375.290313734961,5361.425487682267,6171.827565561757,7554.445016504446,12431.46680260454,16140.0292327873
4364.840313734923,5359.325487682259,6161.277565561719,7547.795016504422,12429.566802604533,16136.529232787288
4364.740313734923,5355.175487682244,6174.177565561766,7550.695016504433,12432.366802604543,16134.529232787281
4364.0903137349205,5359.725487682261,6143.127565561653,7544.795016504411,12431.56680260454,16147.329232787328
4369.5903137349405,5360.575487682264,6168.977565561747,7553.045016504441,12436.466802604558,16128.329232787259
4364.440313734922,5357.825487682254,6173.327565561763,7551.895016504437,12434.216802604551,16129.779232787263
4373.140313734953,5358.925487682258,6183.877565561801,7558.29501650446,12432.566802604544,16130.679232787266
4367.590313734933,5358.775487682257,6172.127565561758,7551.245016504435,12430.666802604537,16137.329232787291
4376.840313734967,5363.325487682274,6167.827565561743,7554.795016504448,12437.866802604563,16136.029232787285
4369.140313734939,5366.225487682284,6126.577565561593,7535.745016504378,12449.866802604607,16141.679232787306
4360.540313734908,5365.875487682283,6117.127565561558,7532.045016504365,12454.966802604626,16135.879232787285
4372.8903137349525,5360.225487682263,6185.627565561807,7557.345016504457,12438.416802604566,16131.279232787268
4353.340313734881,5358.475487682256,6166.527565561738,7548.645016504425,12430.866802604538,16120.129232787229
4371.390313734947,5359.275487682259,6182.027565561794,7558.345016504461,12432.266802604543,16135.079232787282
4376.240313734965,5360.525487682264,6173.027565561762,7553.9450165044445,12436.61680260456,16141.729232787307
4365.940313734927,5359.9254876822615,6159.8275655617135,7551.045016504434,12433.116802604545,16135.279232787283
4368.090313734935,5367.525487682289,6129.527565561603,7536.045016504379,12449.516802604605,16149.429232787334
4364.890313734923,5358.875487682258,6173.577565561764,7554.145016504445,12430.116802604534,16129.579232787262
