B,V,r,i,J,H
4359.090313734902,5359.62548768226,6141.327565561646,7542.9450165044045,12438.816802604568,16134.729232787282
4361.24031373491,5366.425487682285,6119.327565561566,7532.645016504367,12451.766802604614,16147.829232787328
4346.390313734856,5364.425487682278,6083.377565561435,7465.845016504124,12514.866802604844,16163.729232787387
4361.040313734909,5361.175487682266,6135.227565561624,7543.145016504405,12441.966802604578,16139.129232787298
4367.290313734932,5360.425487682263,6164.027565561729,7552.195016504438,12439.56680260457,16130.379232787265
4362.690313734915,5364.275487682277,6130.227565561606,7541.545016504399,12446.916802604595,16142.929232787312
4364.490313734922,5356.575487682249,6180.277565561788,7554.645016504447,12428.066802604528,16125.129232787247
4358.990313734902,5359.3754876822595,6140.5775655616435,7544.295016504409,12434.966802604553,16135.179232787283
4357.890313734898,5362.575487682271,6122.177565561577,7536.24501650438,12448.716802604602,16143.279232787312
4366.240313734928,5359.025487682258,6175.677565561771,7554.895016504448,12433.866802604549,16125.329232787248
4363.690313734919,5361.475487682267,6142.877565561652,7546.495016504417,12436.76680260456,16137.27923278729
4369.740313734941,5360.575487682264,6181.377565561792,7560.94501650447,12434.566802604551,16130.379232787265
4360.890313734909,5356.87548768225,6159.727565561713,7549.89501650443,12429.516802604532,16128.229232787256
4364.490313734922,5358.375487682256,6171.227565561755,7554.195016504445,12429.466802604533,16128.629232787258
4362.390313734914,5358.925487682258,6159.127565561711,7549.645016504429,12434.716802604551,16129.479232787262
4358.5403137349,5365.525487682282,6110.977565561536,7525.545016504341,12456.916802604632,16149.029232787332
4352.490313734878,5363.2254876822735,6104.127565561511,7522.145016504329,12458.016802604638,16151.42923278734
4365.490313734926,5369.8254876822975,6114.227565561548,7524.995016504339,12460.566802604646,16152.029232787343
4362.590313734915,5359.42548768226,6150.72756556168,7549.5450165044285,12437.716802604562,16133.479232787276
4367.490313734933,5358.225487682255,6179.8775655617865,7556.495016504454,12430.566802604537,16128.72923278726
4365.7403137349265,5360.175487682262,6167.12756556174,7553.145016504442,12430.766802604538,16129.17923278726
4366.940313734931,5361.0254876822655,6169.77756556175,7556.545016504454,12430.466802604536,16130.329232787266
