SN Mbest logSFR NPD ab RA DEC Sloan
SNLS05D2cb          9.715  -9.331  0.137400  0.655309 149.852417 +02.328182 Sloan
SNLS04D1pd         10.861  -9.577  0.406800  0.922381 036.915634 -04.631172 Sloan
SNLS06D3cc         10.271  -9.596  0.403200  0.767505 214.381638 +52.912468 Sloan
sn2003kc            9.507  -9.000  1.176020  0.628378 146.642883 +30.655354 Sloan
SNLS03D1ew          9.292  -8.961  4.171500  0.642874 036.058796 -04.665852 Sloan
SNLS03D4gf          9.880  -9.217  5.728300  0.811547 333.595551 -17.734028 Sloan
SNLS03D4gg         10.310  -9.331  1.537200  0.785503 334.167480 -18.164465 Sloan
SNLS05D2ct          9.990  -9.121  0.550700  0.894711 150.425751 +02.123792 Sloan
SDSS6422            9.808  -9.804  0.683079  0.963308 349.138794 -00.663224 Sloan
SDSS13506          10.270  -9.779  2.358348  0.769864 025.243341 -00.727846 Sloan
SDSS19596           9.731  -9.755  1.227201  0.710095 053.884281 +00.703362 Sloan
SNLS06D3df         10.509  -9.433  3.119200  0.787964 215.571701 +52.957680 Sloan
sn2005ki            9.817  -8.996  6.114419  0.728343 160.117584 +09.202333 Sloan
SNLS06D3do          8.934  -9.032  0.344000  0.933413 214.247467 +52.882542 Sloan
sn2002G             9.540  -9.000  1.915311  0.791001 196.980347 +34.085304 Sloan
SDSS19353          10.650  -9.503  1.469942  0.414173 043.114372 +00.251817 Sloan
SDSS20144           9.825  -9.829  0.707301  0.661872 322.431915 +00.444623 Sloan
SNLS06D3dt          9.929  -9.416  0.514300  0.828490 214.340271 +52.452812 Sloan
SDSS17791           9.423  -9.468  0.352437  0.478282 332.373291 +00.737893 Sloan
SDSS17389           9.812  -9.560  0.543820  0.555033 323.294861 -00.960150 Sloan
SNLS05D1hm          9.604  -9.264  0.521100  0.661367 036.942574 -04.717284 Sloan
SNLS05D1hk          8.940  -9.416  0.162800  0.743837 036.163235 -04.634253 Sloan
SNLS04D3mk         10.004  -8.961  0.543400  0.949245 214.857346 +53.163689 Sloan
SDSS2017           10.605  -9.998  1.844221  0.960656 328.943329 +00.593518 Sloan
SNLS04D3ml          9.857  -8.920  4.879300  0.715351 214.162781 +53.093258 Sloan
SDSS7143           10.428  -9.963  1.369140  0.864725 345.262360 -00.207367 Sloan
SDSS2789           11.123 -10.740  2.274336  0.848924 344.201447 +00.401109 Sloan
SDSS7147           10.576 -10.891  0.453377  0.972141 350.018463 -00.055446 Sloan
SDSS15443          10.405  -9.804  0.046595  0.804561 049.867435 -00.318030 Sloan
SDSS15440          10.698 -10.740  0.194959  0.681477 039.720669 +00.090127 Sloan
SDSS16641          10.323 -10.185  1.079559  0.480903 023.561230 -00.403632 Sloan
SDSS6558            9.772  -9.772  0.456030  0.502954 021.701672 -01.238135 Sloan
SDSS22075          11.174 -10.927  1.160627  0.979952 029.963102 +01.216465 Sloan
SDSS722            10.907          0.751410  0.856798 000.705703 +00.751234 Sloan
SDSS19174          10.976          0.181688  0.512144 025.659727 +01.030393 Sloan
SNLS05D3dd         11.435  -9.598  3.867400  0.712607 215.626862 +52.606792 Sloan
SNLS04D2mj          9.690  -9.249  0.375800  0.884674 150.152222 +02.577063 Sloan
SNLS04D2mh          9.034  -9.185  0.899800  0.711605 149.941193 +02.141024 Sloan
SNLS05D3dh          9.311  -8.976  6.563300  0.906521 215.210022 +52.662720 Sloan
SDSS17332          10.518 -10.817  2.492102  0.709469 043.773479 -00.147425 Sloan
SDSS18650           8.859  -8.938  0.070279  0.819920 328.447235 +00.015055 Sloan
SDSS6699           11.271          1.748748  0.546123 322.814972 -01.056985 Sloan
SDSS19702           9.705  -9.398  1.000754  0.901312 047.754841 +00.356752 Sloan
SDSS1241           10.538 -10.226  1.888776  0.556152 337.672516 -00.776589 Sloan
SDSS15365          10.886  -9.633  0.156058  0.865188 354.556671 +01.249090 Sloan
SDSS15201          11.354          1.128475  0.668908 337.519409 +00.003639 Sloan
SDSS15203          10.196  -9.595  0.389313  0.866178 015.734715 +00.183087 Sloan
SNLS04D4bq          8.810  -9.200  1.545000  0.927867 333.705933 -17.827595 Sloan
SNLS06D2fb          9.775  -9.652  0.913500  0.770042 149.883942 +01.827922 Sloan
SDSS15161          10.974  -9.804  0.375182  0.762059 035.842915 +00.819003 Sloan
SDSS16259          11.251  -9.751  4.475285  0.915645 352.029968 +00.856355 Sloan
SDSS13835          10.455  -9.721  2.855434  0.784871 006.059644 -00.248262 Sloan
SDSS14108           8.950          0.656328  0.577214 053.594646 -01.123210 Sloan
SDSS20364          10.401  -9.779  1.034845  0.649178 025.756645 -00.945469 Sloan
sn2001G             8.942  -8.996  1.097529  0.374919 137.388397 +50.280785 Sloan
SDSS13830          11.163  -9.755  1.226592  0.935870 351.561707 -00.382281 Sloan
SNLS03D1ax         11.799  -9.598  0.934300  0.784806 036.097286 -04.720774 Sloan
SDSS19775          10.604  -9.712  0.208995  0.696909 318.956085 +00.651289 Sloan
sn2006sr            9.349  -8.996  1.359722  0.682731 000.895933 +23.196018 Sloan
SNLS04D4bk         11.060  -9.513  8.573800  0.481372 333.782104 -18.060274 Sloan
SDSS13305          10.012  -9.539  1.326268  0.516444 331.100494 +00.691214 Sloan
SDSS13736           8.414  -8.996  1.530276  0.687710 336.833282 +01.030971 Sloan
sn2001az           10.813  -9.712  0.633124  0.441870 248.614487 +76.029541 Sloan
SDSS2330            9.613  -9.450  0.977561  0.643629 006.807123 +01.120598 Sloan
SNLS05D2nt          9.861  -9.004  0.429600  0.888013 150.242615 +02.372730 Sloan
sn2005hj            9.743  -9.772  0.972275  0.513169 021.701124 -01.238000 Sloan
SNLS04D1iv          9.180  -8.780  1.016500  0.766328 036.200211 -04.152559 Sloan
SDSS20142           9.093  -9.364  1.110220  0.958029 023.008219 -00.429732 Sloan
sn2005hc           10.720          1.575215  0.502508 029.199751 -00.213722 Sloan
SDSS18855          10.357  -9.673  3.146526  0.849649 048.632347 +00.269818 Sloan
SDSS20064          10.961  -9.780  0.481220  0.256589 358.586212 -00.917617 Sloan
SDSS12883          11.136 -10.700  0.325625  0.862714 312.625885 +00.398666 Sloan
SDSS12881           9.939 -10.033  0.383018  0.753042 010.162345 -00.073567 Sloan
SDSS2992           10.129  -9.712  0.624300  0.781300 055.497040 -00.782655 Sloan
SNLS06D3gx         10.329  -9.004  1.111300  0.660055 214.263458 +52.936253 Sloan
SNLS06D4cl          9.868  -8.770  4.482400  0.866510 334.237732 -17.450634 Sloan
SNLS06D4co         10.572  -9.331  0.352300  0.561568 333.860504 -17.869184 Sloan
SDSS19913           9.942  -9.468  1.057634  0.732588 333.762482 -00.341257 Sloan
SNLS06D3gh          9.330  -9.137  0.171400  0.860326 214.630905 +52.442902 Sloan
SNLS06D4cq          9.229  -9.347  0.794100  0.896815 334.231354 -17.711983 Sloan
SDSS5635            9.624  -9.468  0.591982  0.974241 333.182770 -00.034922 Sloan
SNLS05D4gw          8.879  -8.976  0.576800  0.730002 333.697327 -17.531906 Sloan
SDSS21510          10.474  -9.503  0.987948  0.920768 007.352812 +00.831497 Sloan
sn2006ej            8.946  -9.000  1.570598  0.493678 009.749042 -09.015722 Sloan
SDSS13425          10.430 -10.107  0.919173  0.645618 338.541687 +00.054988 Sloan
SDSS17801          11.109  -9.692  0.971194  0.660462 316.093201 -00.898024 Sloan
SDSS14019           9.716  -9.503  1.489179  0.837514 316.642426 -00.647952 Sloan
SNLS04D3do         10.599          0.650500  0.890196 214.442001 +52.267551 Sloan
SNLS04D2mc         11.032          0.447200  0.744785 150.148132 +01.784181 Sloan
SNLS04D3dd          9.400  -8.906  0.575600  0.744590 214.451675 +52.470676 Sloan
SNLS04D3df          8.230  -9.598  4.887900  0.960132 214.541672 +52.277683 Sloan
SDSS6108            9.135  -9.468  0.464240  0.890198 001.806597 +00.348985 Sloan
SDSS14421          11.441  -9.692  0.087906  0.700900 031.829882 +01.252084 Sloan
SDSS17340          11.275  -9.699  2.025434  0.682290 041.212090 +00.364833 Sloan
SDSS774            10.526          0.724190  0.817050 025.463467 -00.876399 Sloan
sn2010dt           10.742  -9.794  5.650912  0.957744 250.812759 +32.674320 Sloan
sn2007bc            9.486  -8.996  3.774003  0.852546 169.810715 +20.809029 Sloan
SDSS7779           11.195          3.165177  0.869782 310.080200 -00.007178 Sloan
SNLS04D2iu          9.320  -9.063  7.481300  0.829591 150.304916 +02.415050 Sloan
sn2003it            9.626  -9.000  1.356210  0.568133 001.452179 +27.452394 Sloan
SDSS9457           10.921          1.971178  0.942815 335.814362 +00.253036 Sloan
SDSS2635            9.884  -9.539  1.142299  0.798260 052.704308 -01.238076 Sloan
SDSS18030           9.673  -9.486  0.756965  0.853721 004.932975 -00.400135 Sloan
SDSS17745           8.837  -9.595  0.287481  0.782187 002.960264 -00.339205 Sloan
SNLS04D4gg         10.225  -9.521  0.329200  0.944535 334.038574 -17.294411 Sloan
SDSS21861           9.037  -9.539  1.478535  0.794497 349.858704 -00.901638 Sloan
SNLS03D1bp         11.110 -10.660  1.173100  0.780564 036.657234 -04.838779 Sloan
sn2002jy            9.432  -8.996  3.421867  0.467742 020.317629 +40.498688 Sloan
SNLS05D3kp         10.977  -9.452  2.620800  0.424928 215.012268 +52.270828 Sloan
SNLS05D3kt          9.279  -9.217  0.434900  0.877405 214.973831 +52.742981 Sloan
SNLS05D3kx         11.101  -9.719  1.781400  0.619301 215.458405 +53.137115 Sloan
