SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
SN~2013bt & PGC 51271 & -- & -- & 19.86 & 0.06 & 16.85 & 0.05 & 14.99 & 0.02 & 14.17 & 0.02 & 13.75 & 0.02 & 13.48 & 0.03 & -- & -- & 13.19 & 0.03 & 12.93 & 0.05 & 13.23 & 0.04 & 10.61 & Y \\
SN~2013cs & ESO 576-17 & -- & -- & 16.05 & 0.04 & -- & -- & 15.75 & 0.02 & 14.93 & 0.02 & 14.7 & 0.02 & 14.4 & 0.02 & 14.51 & 0.02 & 14.57 & 0.12 & 14.07 & 0.15 & 14.14 & 0.12 & 8.94 & Y \\
SN~2013cv & SDSS J162243.02+185733.8 & -- & -- & -- & -- & 21.86 & 0.39 & 20.05 & 0.04 & 19.93 & 0.05 & 19.74 & 0.06 & 19.44 & 0.16 & -- & -- & -- & -- & -- & -- & -- & -- & 7.48 & Y \\
SN~2013fn & IC 1342 & 17.48 & 0.05 & 16.8 & 0.02 & -- & -- & 14.39 & 0.02 & 13.76 & 0.02 & 13.46 & 0.02 & 13.24 & 0.02 & 13.03 & 0.02 & 12.54 & 0.02 & 12.33 & 0.03 & 12.43 & 0.03 & 10.36 & Y \\
SNF~20080522-000 & SDSS J133647.59+050833.0 & -- & -- & 19.36 & 0.05 & 18.59 & 0.07 & 17.45 & 0.02 & 16.95 & 0.02 & 16.65 & 0.02 & 16.54 & 0.04 & -- & -- & -- & -- & -- & -- & -- & -- & 9.49 & N \\
SNF~20080522-011 & SDSS J151959.16+045411.2 & -- & -- & -- & -- & 24.41 & 1.13 & 22.41 & 0.14 & 21.01 & 0.06 & 20.48 & 0.06 & 20.28 & 0.18 & -- & -- & -- & -- & -- & -- & -- & -- & 7.95 & N \\
iPTF13dge & NGC 1762 & -- & -- & -- & -- & -- & -- & 13.83 & 0.02 & 12.44 & 0.02 & 12.13 & 0.02 & 11.93 & 0.02 & 12.02 & 0.02 & 11.33 & 0.03 & 11.15 & 0.04 & 11.34 & 0.03 & 10.42 & Y \\
iPTF13dkl & SDSS J234457.63+032337.9 & 19.8 & 0.1 & 19.37 & 0.07 & 18.75 & 0.08 & 17.47 & 0.02 & 16.93 & 0.02 & 16.65 & 0.02 & 16.4 & 0.04 & -- & -- & -- & -- & -- & -- & -- & -- & 9.38 & N \\
iPTF13dkx & SDSS J012052.56+032023.0 & 19.32 & 0.02 & 19.01 & 0.02 & 18.52 & 0.08 & 17.6 & 0.02 & 17.21 & 0.02 & 17.03 & 0.03 & 16.88 & 0.05 & -- & -- & -- & -- & -- & -- & -- & -- & 8.85 & Y \\
iPTF13ebh & NGC 890 & -- & -- & 17.06 & 0.08 & -- & -- & 12.27 & 0.02 & 11.59 & 0.02 & 11.21 & 0.02 & 11.21 & 0.02 & 11.13 & 0.02 & 10.06 & 0.01 & 9.84 & 0.02 & 10.07 & 0.01 & 10.66 & Y \\
