SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
SN~2000ca & ESO 383-32 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2000ce & UGC 4195 & 16.76 & 0.05 & 16.11 & 0.02 & 15.28 & 0.05 & 13.83 & 0.02 & 13.08 & 0.02 & 12.71 & 0.02 & 12.42 & 0.03 & -- & -- & 12.15 & 0.03 & 12.02 & 0.04 & 12.19 & 0.03 & 10.27 & Y \\
SN~2001ba & MCG -05-28-1 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2001bt & IC 4830 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2001cn & IC 4758 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2001cz &  NGC 4679 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2001el &  NGC 1448 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2002bo &  NGC 3190 & 18.02 & 0.08 & 15.95 & 0.02 & -- & -- & 11.26 & 0.02 & 10.39 & 0.02 & -- & -- & 9.69 & 0.02 & -- & -- & 9.4 & 0.02 & 9.15 & 0.02 & 9.3 & 0.02 & 10.16 & Y \\
SN~2002dj &  NGC 5018 & -- & -- & 15.58 & 0.01 & -- & -- & 11.43 & 0.02 & 10.83 & 0.02 & 10.51 & 0.02 & 10.33 & 0.02 & 10.05 & 0.02 & 9.51 & 0.01 & 9.38 & 0.01 & 9.56 & 0.01 & 10.72 & Y \\
SN~2003du & UGC 9391 & -- & -- & 15.97 & 0.01 & 16.68 & 0.06 & 15.12 & 0.02 & 14.67 & 0.02 & 14.58 & 0.02 & 14.57 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 8.7 & Y \\
SN~2004S & MCG -05-16-21 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 12.72 & 0.03 & 12.6 & 0.06 & 12.79 & 0.04 & -- & Y \\
SN~2004ef & UGC 12158 & -- & -- & 16.41 & 0.01 & 15.82 & 0.05 & 14.19 & 0.02 & 13.43 & 0.02 & 13.08 & 0.02 & 12.83 & 0.03 & -- & -- & 12.82 & 0.05 & 12.62 & 0.09 & 12.71 & 0.06 & 10.71 & Y \\
SN~2004eo &  NGC 6928 & 18.53 & 0.15 & 16.39 & 0.04 & -- & -- & -- & -- & 11.87 & 0.02 & -- & -- & 11.09 & 0.02 & -- & -- & 10.64 & 0.02 & 10.41 & 0.03 & 10.56 & 0.03 & 10.68 & Y \\
SN~2004ey & UGC 11816 & 16.04 & 0.01 & 15.61 & 0.01 & 15.76 & 0.05 & 14.48 & 0.02 & 13.86 & 0.02 & 13.56 & 0.02 & 13.39 & 0.03 & -- & -- & 13.04 & 0.06 & 12.87 & 0.12 & 13.26 & 0.08 & 9.74 & Y \\
SN~2004gs & MCG +03-22-20 & 20.05 & 0.09 & 19.18 & 0.04 & 16.29 & 0.05 & 14.49 & 0.02 & 13.7 & 0.02 & 13.31 & 0.02 & 13.02 & 0.03 & -- & -- & 13.01 & 0.03 & 12.76 & 0.05 & 12.88 & 0.04 & 10.5 & Y \\
SN~2004gu & FGC 175A & 21.27 & 0.06 & 20.83 & 0.09 & 19.1 & 0.09 & 17.37 & 0.02 & 16.49 & 0.02 & 16.04 & 0.02 & 15.64 & 0.03 & -- & -- & 15.02 & 0.11 & 14.77 & 0.16 & 14.86 & 0.11 & 9.89 & Y \\
SN~2005A &  NGC 958 & 15.92 & 0.01 & 15.27 & 0.0 & -- & -- & 12.03 & 0.02 & 11.25 & 0.02 & -- & -- & 10.53 & 0.02 & -- & -- & 10.76 & 0.01 & 10.48 & 0.01 & 10.64 & 0.02 & 10.99 & Y \\
SN~2005M & NGC 2930 & 15.86 & 0.02 & 15.58 & 0.01 & 16.3 & 0.05 & 15.75 & 0.02 & 15.6 & 0.02 & 15.53 & 0.02 & 15.44 & 0.03 & -- & -- & 13.86 & 0.06 & 13.82 & 0.09 & 13.83 & 0.09 & 9.34 & Y \\
SN~2005ag & 2MASX J14564322+0919361 & -- & -- & -- & -- & -- & -- & 16.15 & 0.02 & 15.33 & 0.02 & -- & -- & 14.67 & 0.02 & -- & -- & 14.51 & 0.09 & 14.34 & 0.11 & 14.25 & 0.11 & 10.83 & Y \\
SN~2005al & NGC 5304 & 19.56 & 0.06 & 17.8 & 0.01 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 11.31 & 0.02 & 11.11 & 0.03 & 11.35 & 0.03 & 10.39 & Y \\
SN~2005am & NGC 2811 & -- & -- & -- & -- & -- & -- & 12.0 & 0.02 & 11.28 & 0.02 & 10.89 & 0.02 & 10.65 & 0.02 & 10.41 & 0.02 & 9.81 & 0.01 & 9.6 & 0.01 & 9.81 & 0.01 & 10.43 & Y \\
SN~2005ao & NGC 6462 & 17.34 & 0.08 & 16.61 & 0.04 & 16.06 & 0.05 & 14.45 & 0.02 & 13.76 & 0.02 & 13.42 & 0.02 & 13.12 & 0.03 & -- & -- & 12.93 & 0.03 & 12.72 & 0.04 & 12.86 & 0.03 & 10.74 & Y \\
SN~2005bl & NGC 4070 & -- & -- & 18.52 & 0.12 & 15.17 & 0.05 & 13.34 & 0.02 & 12.5 & 0.02 & 12.13 & 0.02 & 11.9 & 0.03 & -- & -- & 11.62 & 0.02 & 11.39 & 0.03 & 11.59 & 0.02 & 10.88 & N \\
SN~2005bo & NGC 4708 & 15.98 & 0.04 & -- & -- & -- & -- & 13.49 & 0.02 & 14.56 & 0.02 & 13.47 & 0.02 & -- & --& 12.89 & 0.02 & 12.04 & 0.03 & 11.89 & 0.05 & 11.98 & 0.04 & 9.74 & Y \\
SN~2005cf & MCG -01-39-3 & 15.91 & 0.01 & 15.07 & 0.0 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 12.92 & 0.04 & 12.83 & 0.07 & 13.12 & 0.05 & 8.69 & Y \\
SN~2005ch & APMUKS(BJ) B141934.25+021314.0 & 21.19 & 0.13 & 21.27 & 0.12 & 22.17 & 0.78 & 19.95 & 0.05 & 19.65 & 0.05 & 19.38 & 0.07 & 19.54 & 0.29 & -- & -- & -- & -- & -- & -- & -- & -- & 7.71 & Y \\
SN~2005el & NGC 1819 & -- & -- & -- & -- & -- & -- & 13.72 & 0.02 & 12.41 & 0.02 & 12.13 & 0.02 & 11.84 & 0.02 & 11.76 & 0.02 & 11.14 & 0.02 & 10.88 & 0.03 & 11.05 & 0.03 & 10.42 & Y \\
SN~2005eq & MCG -01-9-6 & 17.1 & 0.02 & 16.63 & 0.01 & 15.65 & 0.05 & 14.24 & 0.02 & 13.47 & 0.02 & 13.09 & 0.02 & 12.75 & 0.03 & -- & -- & 12.63 & 0.04 & 12.46 & 0.06 & 12.63 & 0.04 & 10.61 & Y \\
SN~2005eu & NSF J022743.32+281037.6 & -- & -- & -- & -- & -- & -- & 17.67 & 0.02 & 17.16 & 0.02 & -- & -- & 16.75 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & 9.02 & Y \\
SN~2005hc & MCG +00-6-3 & -- & -- & 18.56 & 0.01 & 17.42 & 0.05 & 15.79 & 0.02 & 15.03 & 0.02 & 14.68 & 0.02 & 14.42 & 0.03 & -- & -- & 13.87 & 0.07 & 13.76 & 0.11 & 13.83 & 0.08 & 10.44 & Y \\
SN~2005hj & SDSS J012648.45-011417.3 & -- & -- & -- & -- & 20.15 & 0.09 & 18.82 & 0.03 & 18.15 & 0.02 & 17.8 & 0.02 & 17.54 & 0.04 & -- & -- & -- & -- & -- & -- & -- & -- & 9.31 & Y \\
SN~2005hk & UGC 272 & 16.45 & 0.02 & 16.14 & 0.01 & 16.31 & 0.05 & 14.84 & 0.02 & 14.38 & 0.02 & 14.18 & 0.02 & 14.09 & 0.03 & -- & -- & 15.08 & 0.15 & 14.1 & 0.2 & 14.83 & 0.09 & 9.17 & N \\
SN~2005iq & MCG -03-1-8 & 17.51 & 0.07 & 17.33 & 0.05 & -- & -- & 15.03 & 0.02 & 14.41 & 0.02 & 14.12 & 0.02 & 14.08 & 0.02 & 13.74 & 0.02 & 13.38 & 0.03 & 13.15 & 0.06 & 13.59 & 0.04 & 10.3 & Y \\
SN~2005kc & NGC 7311 & -- & -- & 15.77 & 0.01 & 14.44 & 0.05 & 12.61 & 0.02 & 11.8 & 0.02 & 11.42 & 0.02 & 11.15 & 0.03 & -- & -- & 10.77 & 0.01 & 10.53 & 0.01 & 10.75 & 0.01 & 10.76 & Y \\
SN~2005ke & NGC 1371 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2005ki & NGC 3332 & -- & -- & -- & -- & 15.02 & 0.05 & 13.02 & 0.02 & 12.23 & 0.02 & 11.84 & 0.02 & 11.62 & 0.03 & -- & -- & 11.25 & 0.02 & 11.1 & 0.04 & 11.22 & 0.03 & 10.8 & Y \\
SN~2005ku & SDSS J225942.66-000048.8 & 19.1 & 0.02 & 18.56 & 0.01 & 17.88 & 0.05 & 16.74 & 0.02 & 16.29 & 0.02 & 16.03 & 0.02 & 15.85 & 0.03 & -- & -- & 15.32 & 0.08 & 15.29 & 0.16 & 15.5 & 0.14 & 9.63 & N \\
SN~2005ls & MCG +07-7-1 & 16.42 & 0.05 & 15.75 & 0.03 & 15.37 & 0.05 & 14.46 & 0.02 & 13.94 & 0.02 & 13.72 & 0.02 & 13.52 & 0.03 & -- & -- & 13.1 & 0.04 & 13.08 & 0.06 & 13.19 & 0.06 & 9.98 & N \\
SN~2005na & UGC 3634 & -- & -- & -- & -- & -- & -- & 14.07 & 0.02 & 13.32 & 0.02 & 12.93 & 0.02 & 12.66 & 0.02 & 12.41 & 0.02 & 11.94 & 0.02 & 11.68 & 0.04 & 11.91 & 0.03 & 10.66 & Y \\
SN~2006D & MCG -01-33-34 & 15.88 & 0.03 & 15.49 & 0.01 & -- & -- & 13.64 & 0.02 & 12.99 & 0.02 & -- & -- & 12.55 & 0.02 & -- & -- & 12.34 & 0.03 & 12.16 & 0.03 & 12.33 & 0.05 & 9.63 & Y \\
SN~2006E & NGC 5338 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2006N & MCG +11-8-12 & -- & -- & 18.61 & 0.03 & -- & -- & 15.26 & 0.02 & 13.71 & 0.02 & -- & -- & 13.71 & 0.02 & -- & -- & 11.93 & 0.01 & 11.76 & 0.02 & 11.96 & 0.02 & 9.73 & Y \\
SN~2006X & NGC 4321 & -- & -- & -- & -- & -- & -- & 10.72 & 0.02 & 10.03 & 0.02 & -- & -- & 9.47 & 0.02 & -- & -- & 8.35 & 0.03 & 8.2 & 0.04 & 8.43 & 0.04 & 10.35 & Y \\
SN~2006ac & NGC 4619 & 15.67 & 0.02 & 15.21 & 0.01 & -- & -- & 13.06 & 0.02 & 12.38 & 0.02 & -- & -- & 11.9 & 0.02 & -- & -- & 11.72 & 0.02 & 11.59 & 0.03 & 11.73 & 0.03 & 10.75 & Y \\
SN~2006ax & NGC 3663 & 15.99 & 0.04 & 15.31 & 0.01 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 11.61 & 0.04 & 11.39 & 0.07 & 11.73 & 0.04 & 10.43 & Y \\
SN~2006bd & UGC 6609 & 20.57 & 0.09 & 18.61 & 0.03 & 16.02 & 0.05 & 14.05 & 0.02 & 13.25 & 0.02 & 12.87 & 0.02 & 12.57 & 0.03 & -- & -- & 12.28 & 0.03 & 11.99 & 0.05 & 12.16 & 0.03 & 10.63 & N \\
SN~2006bh & NGC 7329 & -- & -- & 14.53 & 0.0 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & 10.69 & 0.02 & 10.49 & 0.03 & 10.72 & 0.02 & 10.53 & Y \\
SN~2006br & NGC 5185 & -- & -- & -- & -- & -- & -- & 13.61 & 0.02 & 12.76 & 0.02 & -- & -- & 12.09 & 0.02 & -- & -- & 12.09 & 0.02 & 11.94 & 0.03 & 12.08 & 0.04 & 10.72 & Y \\
SN~2006bt & CGCG 108-013 & -- & -- & -- & -- & 16.02 & 0.05 & 14.14 & 0.02 & 13.37 & 0.02 & 13.0 & 0.02 & 12.74 & 0.03 & -- & -- & 12.42 & 0.03 & 12.24 & 0.05 & 12.43 & 0.03 & 10.81 & N \\
SN~2006cp & UGC 7357 & 16.7 & 0.05 & -- & -- & 15.4 & 0.05 & 14.33 & 0.02 & 13.85 & 0.02 & 13.65 & 0.02 & 13.5 & 0.03 & -- & -- & 13.99 & 0.06 & 13.7 & 0.09 & 13.98 & 0.07 & 9.67 & Y \\
SN~2006cz & MCG -01-38-2 & -- & -- & 16.28 & 0.02 & -- & -- & 14.05 & 0.02 & 13.34 & 0.02 & -- & -- & 12.8 & 0.02 & -- & -- & 12.73 & 0.07 & 12.51 & 0.08 & 12.56 & 0.1 & 10.97 & N \\
SN~2006ej & NGC 191 & -- & -- & 16.98 & 0.04 & 15.47 & 0.05 & 13.56 & 0.02 & 12.73 & 0.02 & 12.33 & 0.02 & 12.05 & 0.03 & -- & -- & 11.43 & 0.02 & 11.14 & 0.04 & 11.41 & 0.03 & 10.67 & Y \\
SN~2006eq & SDSS J12837.60+011348.6 & 20.97 & 0.08 & 20.1 & 0.05 & 18.78 & 0.07 & 17.24 & 0.02 & 16.47 & 0.02 & 16.06 & 0.02 & 15.76 & 0.03 & -- & -- & 15.55 & 0.13 & 14.98 & 0.16 & 15.19 & 0.13 & 9.92 & Y \\
SN~2006et & NGC 232 & -- & -- & 18.12 & 0.07 & -- & -- & 14.13 & 0.02 & 13.15 & 0.02 & -- & -- & 12.34 & 0.02 & -- & -- & 11.93 & 0.02 & 11.64 & 0.02 & 11.72 & 0.02 & 10.56 & Y \\
